,title,time,category,detail,url
18,"








Camila Cabello performs 'I'll Be Home for Christmas' from the White House
Dec 23, 2021





","Dec 23, 2021",Latest News 20,Camila Cabello performs 'I'll Be Home for Christmas' from the White House,https://www.geo.tv/latest/389412-camila-cabello-performs-ill-be-home-for-christmas-from-the-white-house
19,"








Merck's at-home antiviral COVID-19 pill gets US authorisation
Dec 23, 2021





","Dec 23, 2021",Latest News 21,Merck's at-home antiviral COVID-19 pill gets US authorisation,https://www.geo.tv/latest/389419-mercks-at-home-antiviral-covid-19-pill-gets-us-authorization
20,"








Greg Chappell hopes to see full-strength Australian team visit Pakistan next year
Dec 23, 2021





","Dec 23, 2021",Latest News 22,Greg Chappell hopes to see full-strength Australian team visit Pakistan next year,https://www.geo.tv/latest/389390-greg-chappell-hopes-to-see-full-strength-australian-team-visit-pakistan-next-year
21,"








Prince Harry mocked for wearing ripped jeans
Dec 23, 2021





","Dec 23, 2021",Latest News 23,Prince Harry mocked for wearing ripped jeans,https://www.geo.tv/latest/389418-prince-harry-mocked-for-wearing-ripped-jeans-in-christmas-card-photo
22,"








Iran accepts tea in payment for Sri Lankan oil debt
Dec 23, 2021





","Dec 23, 2021",Latest News 24,Iran accepts tea in payment for Sri Lankan oil debt,https://www.geo.tv/latest/389415-iran-accepts-tea-in-payment-for-sri-lankan-oil-debt
23,"








Explainer: What do we know about Omicron?
Dec 23, 2021





","Dec 23, 2021",Latest News 25,Explainer: What do we know about Omicron?,https://www.geo.tv/latest/389413-explainer-what-do-we-know-about-omicron
24,"








Risk of catching Omicron doubles when travelling via planes
Dec 23, 2021





","Dec 23, 2021",Latest News 26,Risk of catching Omicron doubles when travelling via planes,https://www.geo.tv/latest/389365-risk-of-catching-omicron-doubles-when-travelling-via-planes-warns-iata
25,"








PML-N, PPP 'only alive due to media coverage': Fawad Chaudhry
Dec 23, 2021





","Dec 23, 2021",Latest News 27,"PML-N, PPP 'only alive due to media coverage': Fawad Chaudhry",https://www.geo.tv/latest/389409-pml-n-ppp-only-alive-due-to-media-coverage-fawad-chaudhry
26,"








Experts caution against cloth masks amid Omicron threat
Dec 23, 2021





","Dec 23, 2021",Latest News 28,Experts caution against cloth masks amid Omicron threat,https://www.geo.tv/latest/389328-experts-caution-against-cloth-masks-amid-omicron-threat
27,"








Britney Spears highlights the need to be ‘my own cheerleader’
Dec 23, 2021





","Dec 23, 2021",Latest News 29,Britney Spears highlights the need to be ‘my own cheerleader’,https://www.geo.tv/latest/389407-britney-spears-highlights-the-need-to-be-my-own-cheerleader
28,"








Lira extends rally in wake of Turkey's rescue plan
Dec 23, 2021





","Dec 23, 2021",Latest News 30,Lira extends rally in wake of Turkey's rescue plan,https://www.geo.tv/latest/389367-lira-extends-rally-in-wake-of-turkeys-rescue-plan
29,"








SBP foreign exchange reserves fall to $18.1bn
Dec 23, 2021





","Dec 23, 2021",Latest News 31,SBP foreign exchange reserves fall to $18.1bn,https://www.geo.tv/latest/389397-sbp-foreign-exchange-reserves-fall-to-181bn
30,"








Queen Elizabeth agrees to Prince Philip memorial service in 2022
Dec 23, 2021





","Dec 23, 2021",Latest News 32,Queen Elizabeth agrees to Prince Philip memorial service in 2022,https://www.geo.tv/latest/389408-queen-elizabeth-agrees-to-prince-philip-memorial-service-in-2022
31,"








Minal Khan’s hubby Ahsan Mohsin reveals biggest change since marriage
Dec 23, 2021





","Dec 23, 2021",Latest News 33,Minal Khan’s hubby Ahsan Mohsin reveals biggest change since marriage,https://www.geo.tv/latest/389403-minal-khans-hubby-ahsan-mohsin-reveals-biggest-change-since-marriage
32,"








Oscars gala faces delay as Hollywood braces for Omicron
Dec 23, 2021





","Dec 23, 2021",Latest News 34,Oscars gala faces delay as Hollywood braces for Omicron,https://www.geo.tv/latest/389406-oscars-gala-faces-delay-as-hollywood-braces-for-omicron
33,"








Avril Lavigne ‘getting serious’ with Mod Sun amid musical collaboration: source
Dec 23, 2021





","Dec 23, 2021",Latest News 35,Avril Lavigne ‘getting serious’ with Mod Sun amid musical collaboration: source,https://www.geo.tv/latest/389400-avril-lavigne-getting-serious-with-mod-sun-amid-musical-collaboration-source
34,"








Princess Charlene of Monaco to celebrate Christmas with royal family amid recovery
Dec 23, 2021





","Dec 23, 2021",Latest News 36,Princess Charlene of Monaco to celebrate Christmas with royal family amid recovery,https://www.geo.tv/latest/389388-minal-khans-husband-ahsan-mohsin-addresses-criticism-over-their-romance
35,"








'Hate speech conclave': India's Hindutva leaders call for Muslim genocide
Dec 23, 2021





","Dec 23, 2021",Latest News 37,'Hate speech conclave': India's Hindutva leaders call for Muslim genocide,https://www.geo.tv/latest/389395-hate-speech-conclave-indias-hindutva-leaders-call-for-muslim-genocide
36,"








PCB probing hotel fiasco of Quaid-e-Azam Trophy finalists 
Dec 23, 2021





","Dec 23, 2021",Latest News 38,PCB probing hotel fiasco of Quaid-e-Azam Trophy finalists ,https://www.geo.tv/latest/389392-pcb-probing-hotel-fiasco-of-quaid-e-azam-trophy-finalists
37,"








Prince Harry and Meghan's Christmas Card attracts huge applause, fans gush over Lilibet's first image
Dec 23, 2021





","Dec 23, 2021",Latest News 39,"Prince Harry and Meghan's Christmas Card attracts huge applause, fans gush over Lilibet's first image",https://www.geo.tv/latest/389387-twitter-reacts-to-prince-harry-and-meghans-2021-christmas-card
38,"








Sania Mirza looks gorgeous in new monochromatic photograph
Dec 23, 2021





","Dec 23, 2021",Latest News 40,Sania Mirza looks gorgeous in new monochromatic photograph,https://www.geo.tv/latest/389393-sania-mirza-looks-gorgeous-in-new-monochromatic-photograph
39,"








Islamabad: Govt school teachers continue protest in front of Parliament House
Dec 23, 2021





","Dec 23, 2021",Latest News 41,Islamabad: Govt school teachers continue protest in front of Parliament House,https://www.geo.tv/latest/389383-islamabad-govt-school-teachers-continue-protest-in-front-of-parliament-house
40,"








Babar Azam signs cricket bat for Fahad Mustafa’s star-struck son: Watch
Dec 23, 2021





","Dec 23, 2021",Latest News 42,Babar Azam signs cricket bat for Fahad Mustafa’s star-struck son: Watch,https://www.geo.tv/latest/389386-babar-azam-signs-cricket-bat-for-fahad-mustafas-star-struck-son-watch
41,"








Chris Martin confirms Coldplay will stop making music in 2025 
Dec 23, 2021





","Dec 23, 2021",Latest News 43,Chris Martin confirms Coldplay will stop making music in 2025 ,https://www.geo.tv/latest/389385-chris-martin-confirms-coldplay-will-stop-making-music-in-2025
42,"








Christmas Card 2021: Meghan and Harry's photographer remains unchanged 
Dec 23, 2021





","Dec 23, 2021",Latest News 44,Christmas Card 2021: Meghan and Harry's photographer remains unchanged ,https://www.geo.tv/latest/389384-christmas-card-2021-meghan-and-harrys-photographer-remains-unchanged
43,"








James Franco says he has never been faithful to his partners 
Dec 23, 2021





","Dec 23, 2021",Latest News 45,James Franco says he has never been faithful to his partners ,https://www.geo.tv/latest/389338-james
44,"








With Shaheen as captain, I think we can go one step further: Samit Patel
Dec 23, 2021





","Dec 23, 2021",Latest News 46,"With Shaheen as captain, I think we can go one step further: Samit Patel",https://www.geo.tv/latest/389374-with-shaheen-as-captain-i-think-we-can-go-one-step-further-samit-patel
45,"








Lilibet is here! Prince Harry, Meghan Markle unveil daughter in Christmas card
Dec 23, 2021





","Dec 23, 2021",Latest News 47,"Lilibet is here! Prince Harry, Meghan Markle unveil daughter in Christmas card",https://www.geo.tv/latest/389381-lilibet-is-here-prince-harry-meghan-markle-unveil-daughter-in-christmas-card
46,"








Gen Bajwa pays visit to forward areas along LOC
Dec 23, 2021





","Dec 23, 2021",Latest News 48,Gen Bajwa pays visit to forward areas along LOC,https://www.geo.tv/latest/389346-gen-bajwa-pays-visit-to-forward-areas-along-loc
47,"








Prince William, Prince Harry miss out on longstanding Christmas tradition
Dec 23, 2021





","Dec 23, 2021",Latest News 49,"Prince William, Prince Harry miss out on longstanding Christmas tradition",https://www.geo.tv/latest/389369-prince-william-prince-harry-miss-out-on-longstanding-christmas-tradition
48,"








K-Electric seeks Rs5.5 per unit rise in tariff
Dec 23, 2021





","Dec 23, 2021",Latest News 50,K-Electric seeks Rs5.5 per unit rise in tariff,https://www.geo.tv/latest/389364-k-electric-seeks-rs55-per-unit-rise-in-tariff
49,"








Meghan's fans take a jibe at Kate Middleton over her intimate photo with William
Dec 23, 2021





","Dec 23, 2021",Latest News 51,Meghan's fans take a jibe at Kate Middleton over her intimate photo with William,https://www.geo.tv/latest/389357-meghans-fans-take-a-jibe-at-kate-middleton-over-her-intimate-photo-with-william
50,"








PSX reverses bearish trend, with a 90-point gain
Dec 23, 2021





","Dec 23, 2021",Latest News 52,"PSX reverses bearish trend, with a 90-point gain",https://www.geo.tv/latest/389342-psx-reverses-bearish-trend-with-a-90-point-gain
51,"








Shahbaz foresees Pakistan's 'khuda hafiz' if govt not sent packing
Dec 23, 2021





","Dec 23, 2021",Latest News 53,Shahbaz foresees Pakistan's 'khuda hafiz' if govt not sent packing,https://www.geo.tv/latest/389361-shahbaz-foresees-pakistans-khuda-hafiz-if-govt-not-sent-packing
52,"








Suicide bomber killed at Kabul passport office gate
Dec 23, 2021





","Dec 23, 2021",Latest News 54,Suicide bomber killed at Kabul passport office gate,https://www.geo.tv/latest/389363-suicide-bomber-killed-at-kabul-passport-office-gate
53,"








Prince Harry, Meghan Markle beat Prince William, Kate Middleton in popularity title 
Dec 23, 2021





","Dec 23, 2021",Latest News 55,"Prince Harry, Meghan Markle beat Prince William, Kate Middleton in popularity title ",https://www.geo.tv/latest/389360-prince-harry-meghan-markle-beat-prince-william-kate-middleton-in-this-title
54,"








Gold price gains Rs400 per tola, traded at Rs125,700
Dec 23, 2021





","Dec 23, 2021",Latest News 56,"Gold price gains Rs400 per tola, traded at Rs125,700",https://www.geo.tv/latest/389353-gold-price-gains-rs400-per-tola-traded-at-rs125700
55,"








Scott Disick relationship made Amelia Hamlin lose 'sense of self'
Dec 23, 2021





","Dec 23, 2021",Latest News 57,Scott Disick relationship made Amelia Hamlin lose 'sense of self',https://www.geo.tv/latest/389362-amelia-hamlin-lost-sense-of-self-during-relationship-with-scott-disick
56,"








Teenager killed, dismembered by friend after altercation
Dec 23, 2021





","Dec 23, 2021",Latest News 58,"Teenager killed, dismembered by friend after altercation",https://www.geo.tv/latest/389343-teenager-killed-dismembered-by-friend-after-minor-altercation
57,"








Clarence House confirms Charles to join Queen on Christmas Day
Dec 23, 2021





","Dec 23, 2021",Latest News 59,Clarence House confirms Charles to join Queen on Christmas Day,https://www.geo.tv/latest/389355-clarence-house-confirms-charles-to-join-queen-on-christmas-day
58,"








Travis Barker gets a love note and doodle from Kourtney Kardashian
Dec 23, 2021





","Dec 23, 2021",Latest News 60,Travis Barker gets a love note and doodle from Kourtney Kardashian,https://www.geo.tv/latest/389352-travis-barker-gets-a-love-note-and-doodle-from-kourtney-kardashian
